example_id,dataset,claim_type,gold_label,localization,rank_first_correct,recall_at_k,verdict_gold,verdict_located,verdict_located_neighbours,verdict_full
sciciteval-0,sciciteval,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-1,sciciteval,other,Refuted,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-2,sciciteval,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-3,sciciteval,other,Refuted,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-4,sciciteval,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-5,sciciteval,other,Refuted,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-6,sciciteval,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-7,sciciteval,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Partially Supported,
sciciteval-8,sciciteval,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-9,sciciteval,other,Refuted,near,,0.0,Not Supported,Not Supported,Not Supported,
sciciteval-10,sciciteval,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-11,sciciteval,other,Refuted,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-12,sciciteval,other,Supported,near,,0.0,Partially Supported,Partially Supported,Supported,
sciciteval-13,sciciteval,other,Refuted,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-14,sciciteval,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-15,sciciteval,other,Refuted,near,,0.0,Not Supported,Not Supported,Not Supported,
sciciteval-16,sciciteval,other,Supported,near,,0.0,Not Supported,Not Supported,Not Supported,
sciciteval-17,sciciteval,other,Refuted,near,,0.0,Not Supported,Not Supported,Not Supported,
sciciteval-18,sciciteval,other,Supported,miss,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-19,sciciteval,other,Refuted,miss,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-20,sciciteval,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-21,sciciteval,other,Refuted,near,,0.0,Not Supported,Not Supported,Not Supported,
sciciteval-22,sciciteval,other,Supported,near,,0.0,Supported,Supported,Supported,
sciciteval-23,sciciteval,other,Refuted,near,,0.0,Supported,Supported,Supported,
sciciteval-24,sciciteval,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-25,sciciteval,other,Refuted,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-26,sciciteval,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-27,sciciteval,other,Refuted,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-28,sciciteval,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-29,sciciteval,other,Refuted,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-30,sciciteval,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-31,sciciteval,other,Refuted,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-32,sciciteval,other,Supported,hit,1,1.0,NEI,NEI,NEI,
sciciteval-33,sciciteval,other,Refuted,hit,1,1.0,NEI,NEI,NEI,
sciciteval-34,sciciteval,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-35,sciciteval,other,Refuted,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-36,sciciteval,other,Supported,miss,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-37,sciciteval,other,Refuted,miss,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-38,sciciteval,other,Supported,near,,0.0,Not Supported,Not Supported,Not Supported,
sciciteval-39,sciciteval,other,Refuted,near,,0.0,Not Supported,Not Supported,Not Supported,
sciciteval-40,sciciteval,other,Supported,near,,0.0,Supported,Supported,Supported,
sciciteval-41,sciciteval,other,Refuted,near,,0.0,Not Supported,Not Supported,Not Supported,
sciciteval-42,sciciteval,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-43,sciciteval,other,Refuted,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-44,sciciteval,other,Supported,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-45,sciciteval,other,Refuted,near,,0.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-46,sciciteval,other,Supported,near,,0.0,Supported,Supported,Supported,
sciciteval-47,sciciteval,other,Refuted,near,,0.0,Partially Supported,NEI,Partially Supported,
sciciteval-48,sciciteval,other,Supported,hit,1,1.0,Supported,Supported,Supported,
sciciteval-49,sciciteval,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
sciciteval-50,sciciteval,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
sciciteval-51,sciciteval,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
sciciteval-52,sciciteval,other,Supported,near,,0.0,Supported,Partially Supported,Supported,
