example_id,dataset,claim_type,gold_label,localization,rank_first_correct,recall_at_k,verdict_gold,verdict_located,verdict_located_neighbours,verdict_full
citint-387,citationintegrity,other,Supported,hit,1,0.389,Partially Supported,Partially Supported,Partially Supported,
citint-370,citationintegrity,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
citint-360,citationintegrity,other,Supported,hit,1,0.5,Partially Supported,Partially Supported,Partially Supported,
citint-493,citationintegrity,other,Supported,hit,1,0.4,Partially Supported,Partially Supported,Partially Supported,
citint-250,citationintegrity,other,Refuted,miss,,0.0,NEI,Partially Supported,Partially Supported,
citint-496,citationintegrity,other,NEI,n/a,,0.0,NEI,Not Supported,Not Supported,
citint-295,citationintegrity,other,Refuted,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
citint-209,citationintegrity,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
citint-139,citationintegrity,other,Supported,near,,0.0,Supported,Partially Supported,Supported,
citint-136,citationintegrity,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
citint-522,citationintegrity,other,Refuted,hit,2,1.0,Not Supported,Supported,Supported,
citint-270,citationintegrity,other,Supported,near,,0.0,Supported,Partially Supported,Partially Supported,
citint-215,citationintegrity,other,Supported,hit,1,1.0,Partially Supported,Supported,Supported,
citint-65,citationintegrity,other,Supported,hit,3,0.5,Not Supported,NEI,Partially Supported,
citint-265,citationintegrity,other,Supported,hit,3,0.5,Partially Supported,Supported,Supported,
citint-439,citationintegrity,other,Supported,near,,0.0,Supported,Partially Supported,Partially Supported,
citint-103,citationintegrity,other,Supported,hit,2,1.0,Partially Supported,Partially Supported,Partially Supported,
citint-550,citationintegrity,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
citint-76,citationintegrity,other,Supported,hit,1,0.429,Partially Supported,Supported,Supported,
citint-53,citationintegrity,other,Supported,miss,,0.0,Not Supported,Partially Supported,Partially Supported,
citint-243,citationintegrity,other,Refuted,miss,,0.0,NEI,NEI,NEI,
citint-177,citationintegrity,other,Refuted,near,,0.0,Not Supported,Partially Supported,Not Supported,
citint-309,citationintegrity,other,Refuted,hit,2,1.0,NEI,NEI,NEI,
citint-477,citationintegrity,other,NEI,n/a,,0.0,NEI,Not Supported,Partially Supported,
citint-350,citationintegrity,other,Supported,hit,1,0.5,Not Supported,Not Supported,Not Supported,
citint-455,citationintegrity,other,Supported,hit,1,0.25,Partially Supported,Partially Supported,Supported,
citint-501,citationintegrity,other,NEI,n/a,,0.0,NEI,Not Supported,Partially Supported,
citint-518,citationintegrity,other,NEI,n/a,,0.0,NEI,Not Supported,Partially Supported,
citint-235,citationintegrity,other,Refuted,hit,2,0.5,Not Supported,Partially Supported,Partially Supported,
citint-361,citationintegrity,other,Supported,hit,1,0.5,Partially Supported,Partially Supported,Partially Supported,
citint-14,citationintegrity,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Supported,
citint-258,citationintegrity,other,Supported,near,,0.0,Not Supported,Not Supported,Not Supported,
citint-382,citationintegrity,other,Supported,hit,1,0.333,Partially Supported,Partially Supported,Partially Supported,
citint-180,citationintegrity,other,Supported,hit,2,1.0,Partially Supported,Partially Supported,Partially Supported,
citint-168,citationintegrity,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
