example_id,dataset,claim_type,gold_label,localization,rank_first_correct,recall_at_k,verdict_gold,verdict_located,verdict_located_neighbours,verdict_full
scifact-1-31715818,scifact,other,NEI,n/a,,0.0,NEI,Not Supported,Not Supported,
scifact-3-14717500,scifact,other,Supported,hit,1,0.667,Not Supported,NEI,NEI,
scifact-5-13734012,scifact,other,Supported,hit,1,1.0,Not Supported,Not Supported,Supported,
scifact-13-1606628,scifact,other,NEI,n/a,,0.0,NEI,Not Supported,Not Supported,
scifact-36-5152028,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-36-11705328,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-42-18174210,scifact,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
scifact-48-13734012,scifact,other,Refuted,hit,2,1.0,Not Supported,Not Supported,Not Supported,
scifact-49-5953485,scifact,other,Supported,hit,1,0.5,Partially Supported,Partially Supported,Partially Supported,
scifact-50-12580014,scifact,other,Supported,hit,1,1.0,Supported,Supported,Supported,
scifact-51-45638119,scifact,other,Refuted,hit,1,1.0,Not Supported,Not Supported,Not Supported,
scifact-53-45638119,scifact,other,Supported,hit,1,1.0,Supported,Supported,Supported,
scifact-54-49556906,scifact,other,Refuted,hit,1,0.667,Not Supported,Not Supported,Not Supported,
scifact-56-4709641,scifact,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
scifact-57-4709641,scifact,other,Refuted,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
scifact-70-5956380,scifact,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
scifact-70-4414547,scifact,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
scifact-72-6076903,scifact,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
scifact-75-4387784,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-94-1215116,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-99-18810195,scifact,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scifact-100-4381486,scifact,other,Supported,hit,1,1.0,Supported,Supported,Supported,
scifact-113-6157837,scifact,other,Supported,hit,1,1.0,Supported,Supported,Supported,
scifact-115-33872649,scifact,other,Refuted,hit,1,1.0,NEI,NEI,NEI,
scifact-118-6372244,scifact,other,Supported,hit,1,1.0,Supported,Supported,Supported,
scifact-124-4883040,scifact,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
