example_id,dataset,gold_label,verdict_raw,verdict_lenient,verdict_strict,paper_relevant,n_evidence,loc_result,rank_first,recall_at_k,confidence,is_overstatement
citint-0,citationintegrity,Refuted,Partially Supported,Supported,NEI,True,3,hit,2,0.75,0.94,False
citint-1,citationintegrity,Refuted,Supported,Supported,Supported,True,3,miss,,0.0,0.99,False
citint-2,citationintegrity,Supported,Partially Supported,Supported,NEI,True,4,hit,2,0.6667,0.9,False
citint-3,citationintegrity,Supported,Supported,Supported,Supported,True,3,hit,2,1.0,0.99,False
citint-4,citationintegrity,Supported,Supported,Supported,Supported,True,3,hit,1,0.375,0.96,False
citint-5,citationintegrity,Supported,Supported,Supported,Supported,True,3,miss,,0.0,0.99,False
citint-6,citationintegrity,Supported,Partially Supported,Supported,NEI,True,4,hit,4,0.3333,0.94,False
citint-7,citationintegrity,Supported,Partially Supported,Supported,NEI,True,3,hit,1,0.3333,0.96,False
citint-8,citationintegrity,Refuted,Partially Supported,Supported,NEI,True,3,hit,2,0.5,0.96,True
citint-9,citationintegrity,Supported,Partially Supported,Supported,NEI,True,4,near,,0.0,0.9,False
citint-10,citationintegrity,Supported,Partially Supported,Supported,NEI,True,3,near,,0.0,0.94,False
citint-11,citationintegrity,Supported,Partially Supported,Supported,NEI,True,5,hit,5,0.25,0.87,True
citint-12,citationintegrity,Refuted,Supported,Supported,Supported,True,3,miss,,0.0,0.99,False
citint-13,citationintegrity,Refuted,Supported,Supported,Supported,True,2,hit,1,1.0,0.99,False
citint-14,citationintegrity,Supported,Supported,Supported,Supported,True,2,hit,1,1.0,0.96,False
citint-15,citationintegrity,NEI,Partially Supported,Supported,NEI,True,4,,,,0.94,False
citint-16,citationintegrity,NEI,NEI,NEI,NEI,False,1,miss,,0.0,0.98,False
citint-17,citationintegrity,Supported,Supported,Supported,Supported,True,3,hit,1,1.0,0.92,False
citint-18,citationintegrity,Refuted,Supported,Supported,Supported,True,3,miss,,0.0,0.98,False
citint-19,citationintegrity,Supported,Supported,Supported,Supported,True,3,hit,2,1.0,0.99,False
citint-20,citationintegrity,Refuted,Partially Supported,Supported,NEI,True,3,miss,,0.0,0.93,False
citint-21,citationintegrity,Supported,Partially Supported,Supported,NEI,True,3,hit,1,0.3333,0.86,True
citint-22,citationintegrity,Supported,Supported,Supported,Supported,True,2,hit,1,1.0,0.99,False
citint-23,citationintegrity,Supported,Supported,Supported,Supported,True,2,near,,0.0,0.94,False
citint-24,citationintegrity,NEI,Partially Supported,Supported,NEI,True,5,,,,0.9,True
citint-25,citationintegrity,Supported,Supported,Supported,Supported,True,4,near,,0.0,0.9,False
citint-26,citationintegrity,NEI,Partially Supported,Supported,NEI,True,3,,,,0.95,False
citint-27,citationintegrity,Supported,Supported,Supported,Supported,True,3,hit,1,1.0,0.95,False
citint-28,citationintegrity,NEI,Partially Supported,Supported,NEI,True,5,,,,0.9,False
citint-29,citationintegrity,Refuted,Partially Supported,Supported,NEI,True,4,near,,0.0,0.88,False
citint-30,citationintegrity,Supported,NEI,NEI,NEI,True,1,hit,1,0.75,0.96,False
