example_id,dataset,claim_type,gold_label,localization,rank_first_correct,recall_at_k,verdict_gold,verdict_located,verdict_located_neighbours,verdict_full
citint-0,citationintegrity,statistical,Refuted,hit,3,0.25,,,,
citint-1,citationintegrity,statistical,Refuted,miss,,0.0,,,,
citint-2,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-3,citationintegrity,statistical,Supported,hit,3,1.0,,,,
citint-4,citationintegrity,statistical,Supported,near,,0.0,,,,
citint-5,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-6,citationintegrity,statistical,Supported,hit,1,0.333,,,,
citint-7,citationintegrity,statistical,Supported,hit,1,0.667,,,,
citint-8,citationintegrity,statistical,Refuted,hit,1,0.5,,,,
citint-9,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-10,citationintegrity,statistical,Supported,near,,0.0,,,,
citint-11,citationintegrity,statistical,Supported,near,,0.0,,,,
citint-12,citationintegrity,statistical,Refuted,hit,3,1.0,,,,
citint-13,citationintegrity,statistical,Refuted,hit,2,0.5,,,,
citint-14,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-15,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-16,citationintegrity,statistical,NEI,miss,,0.0,,,,
citint-17,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-18,citationintegrity,statistical,Refuted,hit,2,1.0,,,,
citint-19,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-20,citationintegrity,statistical,Refuted,miss,,0.0,,,,
citint-21,citationintegrity,statistical,Supported,hit,2,0.667,,,,
citint-22,citationintegrity,statistical,Supported,near,,0.0,,,,
citint-23,citationintegrity,statistical,Supported,hit,1,1.0,,,,
citint-24,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-25,citationintegrity,statistical,Supported,hit,1,0.5,,,,
citint-26,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-27,citationintegrity,statistical,Supported,hit,1,0.5,,,,
citint-28,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-29,citationintegrity,statistical,Refuted,near,,0.0,,,,
citint-30,citationintegrity,statistical,Supported,hit,2,0.75,,,,
citint-31,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-32,citationintegrity,statistical,Supported,hit,2,0.5,,,,
citint-33,citationintegrity,statistical,Supported,hit,1,0.5,,,,
citint-34,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-35,citationintegrity,statistical,Supported,hit,2,1.0,,,,
citint-36,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-37,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-38,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-39,citationintegrity,statistical,Supported,near,,0.0,,,,
citint-40,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-41,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-42,citationintegrity,statistical,Refuted,miss,,0.0,,,,
citint-43,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-44,citationintegrity,statistical,Refuted,miss,,0.0,,,,
citint-45,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-46,citationintegrity,statistical,Refuted,hit,1,0.5,,,,
citint-47,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-48,citationintegrity,statistical,Refuted,near,,0.0,,,,
citint-49,citationintegrity,statistical,Supported,hit,1,0.667,,,,
citint-50,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-51,citationintegrity,statistical,Refuted,hit,3,1.0,,,,
citint-52,citationintegrity,statistical,Supported,hit,1,1.0,,,,
citint-53,citationintegrity,statistical,Supported,hit,3,0.4,,,,
citint-54,citationintegrity,statistical,Supported,hit,3,0.5,,,,
citint-55,citationintegrity,statistical,Supported,hit,1,1.0,,,,
citint-56,citationintegrity,statistical,Supported,hit,2,1.0,,,,
citint-57,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-58,citationintegrity,statistical,Supported,hit,2,0.833,,,,
citint-59,citationintegrity,statistical,Supported,hit,1,1.0,,,,
citint-60,citationintegrity,statistical,Supported,hit,1,0.8,,,,
citint-61,citationintegrity,statistical,Refuted,hit,1,1.0,,,,
citint-62,citationintegrity,statistical,Supported,hit,2,0.571,,,,
citint-63,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-64,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-65,citationintegrity,statistical,Supported,near,,0.0,,,,
citint-66,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-67,citationintegrity,statistical,Refuted,hit,1,1.0,,,,
citint-68,citationintegrity,statistical,Supported,hit,1,0.6,,,,
citint-69,citationintegrity,statistical,Refuted,miss,,0.0,,,,
citint-70,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-71,citationintegrity,statistical,NEI,n/a,,0.0,,,,
citint-72,citationintegrity,statistical,Supported,near,,0.0,,,,
citint-73,citationintegrity,statistical,Supported,hit,1,0.2,,,,
citint-74,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-75,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-76,citationintegrity,statistical,Supported,hit,2,0.429,,,,
citint-77,citationintegrity,statistical,Refuted,near,,0.0,,,,
citint-78,citationintegrity,statistical,Supported,miss,,0.0,,,,
citint-79,citationintegrity,statistical,Refuted,hit,2,0.5,,,,
