example_id,dataset,claim_type,gold_label,localization,rank_first_correct,recall_at_k,verdict_gold,verdict_located,verdict_located_neighbours,verdict_full
scitance-753-11527199,scitance,other,Supported,hit,1,1.0,NEI,NEI,Partially Supported,
scitance-463-14803797,scitance,other,Refuted,hit,1,0.875,Not Supported,Not Supported,Not Supported,
scitance-204-2014909,scitance,other,Refuted,hit,1,0.875,Not Supported,Not Supported,Not Supported,
scitance-964-16939583,scitance,other,Refuted,hit,1,0.6,Not Supported,Not Supported,Not Supported,
scitance-70-2692522,scitance,other,Refuted,hit,1,0.5,Not Supported,Not Supported,Not Supported,
scitance-664-2356950,scitance,other,Supported,hit,1,0.571,Supported,Supported,Supported,
scitance-841-11603066,scitance,other,Supported,hit,1,0.875,Not Supported,Not Supported,Not Supported,
scitance-242-5912283,scitance,other,Supported,hit,1,0.5,Partially Supported,Partially Supported,Partially Supported,
scitance-242-31554917,scitance,other,NEI,n/a,,0.0,NEI,Not Supported,Not Supported,
scitance-1142-16256507,scitance,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
scitance-550-24384587,scitance,other,Supported,hit,1,0.8,Partially Supported,Partially Supported,Partially Supported,
scitance-1114-8883846,scitance,other,NEI,n/a,,0.0,NEI,Not Supported,Not Supported,
scitance-1167-14195528,scitance,other,NEI,n/a,,0.0,NEI,NEI,NEI,
scitance-1101-4702639,scitance,other,NEI,n/a,,0.0,NEI,Not Supported,Not Supported,
scitance-759-123859,scitance,other,Supported,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
scitance-1022-19912367,scitance,other,Refuted,hit,1,0.333,Not Supported,Not Supported,Not Supported,
scitance-537-15535511,scitance,other,Refuted,hit,1,1.0,Partially Supported,Partially Supported,Partially Supported,
scitance-257-39381118,scitance,other,Refuted,hit,1,1.0,Partially Supported,Partially Supported,Not Supported,
scitance-1183-12956194,scitance,other,NEI,n/a,,0.0,NEI,Partially Supported,Partially Supported,
scitance-411-12643937,scitance,other,Refuted,hit,1,0.833,Not Supported,Not Supported,Not Supported,
scitance-88-33872649,scitance,other,Refuted,hit,1,0.625,Not Supported,Not Supported,Not Supported,
scitance-1000-21239672,scitance,other,Refuted,hit,1,0.75,NEI,NEI,NEI,
scitance-17-33409100,scitance,other,Refuted,hit,1,0.571,Partially Supported,Partially Supported,Partially Supported,
scitance-858-6441369,scitance,other,Refuted,hit,1,1.0,NEI,NEI,NEI,
scitance-837-9745001,scitance,other,Supported,hit,1,0.462,Partially Supported,Partially Supported,Partially Supported,
scitance-943-52873726,scitance,other,Supported,hit,1,0.778,Partially Supported,Partially Supported,Partially Supported,
scitance-1139-6625693,scitance,other,NEI,n/a,,0.0,NEI,Not Supported,Not Supported,
scitance-35-5953485,scitance,other,Supported,hit,1,0.6,Not Supported,Not Supported,Not Supported,
scitance-922-24142891,scitance,other,Refuted,hit,1,0.75,Not Supported,Not Supported,Not Supported,
scitance-789-6828370,scitance,other,Supported,hit,1,0.75,Partially Supported,Partially Supported,Partially Supported,
scitance-42-45638119,scitance,other,Refuted,hit,1,0.833,Partially Supported,Partially Supported,Partially Supported,
scitance-558-4469125,scitance,other,Supported,hit,1,0.5,Supported,Not Supported,Supported,
scitance-111-26016929,scitance,other,Supported,hit,1,0.692,Partially Supported,Partially Supported,Partially Supported,
scitance-400-2052720,scitance,other,Supported,hit,1,0.625,Partially Supported,Partially Supported,Partially Supported,
